"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1636","secret panel is hidden before checkbox is checked","firefox","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","2189","should reflect the selected country value","firefox","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","798","radio No is checked by default","chromium","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","4299","delete button transitions: idle → loading → error","chromium","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","941","slider value display updates when value changes","chromium","2026-05-11","passed","2026-05-11","Slider","slider.spec.ts","",""
"","3362","radio No is checked by default","webkit","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","2065","should accept URL input","firefox","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","3718","all input fields are visible","webkit","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","1726","input field inside iframe accepts text","firefox","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","782","success button is visible and enabled","chromium","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","1020","dragging Item Beta updates the drop log","chromium","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","1607","checkbox 2 is unchecked by default","firefox","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","5099","reset restores both buttons to initial state","firefox","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","2153","should submit form with valid data and show success","firefox","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","2605","target drop zone is visible","webkit","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","2311","radio buttons are mutually exclusive","firefox","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","1906","country select defaults to empty","firefox","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","1577","disabled button is not interactive","firefox","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","1855","Confirm button is visible and clickable inside modal","firefox","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","3195","first row contains correct ID and name","webkit","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","1063","success button is visible and enabled","firefox","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","2647","table has exactly 3 data rows","webkit","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","1475","should show error for invalid email format","chromium","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","1618","dragging Item Beta updates the drop log","firefox","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","1594","target drop zone is visible","firefox","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","1898","iframe inner text is accessible via frame context","firefox","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","1726","alert banners are visible on page","firefox","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","801","second row status is Inactive","chromium","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","2036","should select multiple options","firefox","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","2321","should show error when age is below minimum","firefox","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","1218","radio buttons are mutually exclusive","chromium","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","3084","should accept number input within range","webkit","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","4990","should close modal via X button","webkit","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","4370","button click inside iframe produces a result","webkit","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","3283","submit button transitions: idle → loading → success","chromium","2026-05-11","passed","2026-05-11","Async Button States","async-buttons.spec.ts","",""
"","3367","input field inside iframe accepts text","webkit","2026-05-11","passed","2026-05-11","IFrame Elements","iframes.spec.ts","",""
"","4090","unchecking hides the panel again","webkit","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","1018","should select a country from single select","chromium","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","4402","secret button click increments counter","webkit","2026-05-11","passed","2026-05-11","Dynamic Visibility","dynamic-visibility.spec.ts","",""
"","2151","should close modal on Cancel click","firefox","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","992","disabled button is not interactive","chromium","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","2304","should show validation errors on empty submit","firefox","2026-05-11","passed","2026-05-11","Registration Form","forms.spec.ts","",""
"","818","country select defaults to empty","chromium","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","1947","all input fields are visible","firefox","2026-05-11","passed","2026-05-11","Input Fields","inputs.spec.ts","",""
"","3273","dragging Item Alpha updates the drop log","webkit","2026-05-11","passed","2026-05-11","Drag and Drop","drag-and-drop.spec.ts","",""
"","1118","second row status is Inactive","firefox","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","828","first row contains correct ID and name","chromium","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","934","checkbox 2 is unchecked by default","chromium","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
"","716","primary button is visible and enabled","firefox","2026-05-11","passed","2026-05-11","Buttons","buttons.spec.ts","",""
"","926","each row has an Edit button","chromium","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","2032","should select a country from single select","firefox","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","2960","should reflect the selected country value","webkit","2026-05-11","passed","2026-05-11","Dropdowns","dropdowns.spec.ts","",""
"","1102","modal is hidden before opening","chromium","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","1831","first row contains correct ID and name","firefox","2026-05-11","passed","2026-05-11","Tables","tables.spec.ts","",""
"","1202","alert banners are visible on page","chromium","2026-05-11","passed","2026-05-11","Alerts & Modals","modals.spec.ts","",""
"","2822","checkbox 2 is unchecked by default","webkit","2026-05-11","passed","2026-05-11","Checkboxes & Radio Buttons","checkboxes.spec.ts","",""
